max_depth,criterion,max_features,class_weight,n_estimators,ccp_alpha,accuracy,precision,recall,f1_score,roc_auc
3,gini,sqrt,balanced,240,0.0,0.875,0.861,0.859,0.86,0.944
3,gini,sqrt,balanced,240,0.001,0.873,0.854,0.864,0.859,0.943
3,gini,sqrt,balanced,240,0.01,0.87,0.842,0.873,0.857,0.941
3,gini,sqrt,balanced_subsample,240,0.0,0.876,0.858,0.867,0.863,0.945
3,gini,sqrt,balanced_subsample,240,0.001,0.873,0.853,0.867,0.86,0.944
3,gini,sqrt,balanced_subsample,240,0.01,0.867,0.84,0.868,0.854,0.94
3,gini,sqrt,,240,0.0,0.874,0.859,0.86,0.86,0.944
3,gini,sqrt,,240,0.001,0.874,0.859,0.861,0.86,0.944
3,gini,sqrt,,240,0.01,0.872,0.845,0.874,0.859,0.942
3,gini,log2,balanced,240,0.0,0.875,0.858,0.864,0.861,0.945
3,gini,log2,balanced,240,0.001,0.873,0.859,0.858,0.859,0.943
3,gini,log2,balanced,240,0.01,0.872,0.85,0.866,0.858,0.943
3,gini,log2,balanced_subsample,240,0.0,0.875,0.859,0.864,0.861,0.944
3,gini,log2,balanced_subsample,240,0.001,0.874,0.859,0.862,0.86,0.944
3,gini,log2,balanced_subsample,240,0.01,0.869,0.845,0.867,0.856,0.94
3,gini,log2,,240,0.0,0.875,0.859,0.862,0.861,0.944
3,gini,log2,,240,0.001,0.875,0.858,0.863,0.861,0.944
3,gini,log2,,240,0.01,0.871,0.849,0.866,0.858,0.941
3,gini,,balanced,240,0.0,0.859,0.839,0.847,0.843,0.929
3,gini,,balanced,240,0.001,0.859,0.837,0.85,0.844,0.929
3,gini,,balanced,240,0.01,0.844,0.808,0.857,0.831,0.92
3,gini,,balanced_subsample,240,0.0,0.859,0.836,0.852,0.844,0.93
3,gini,,balanced_subsample,240,0.001,0.858,0.837,0.848,0.843,0.929
3,gini,,balanced_subsample,240,0.01,0.845,0.808,0.856,0.832,0.922
3,gini,,,240,0.0,0.856,0.835,0.845,0.84,0.929
3,gini,,,240,0.001,0.855,0.831,0.849,0.84,0.929
3,gini,,,240,0.01,0.846,0.809,0.858,0.833,0.918
3,gini,0.5,balanced,240,0.0,0.864,0.843,0.855,0.849,0.935
3,gini,0.5,balanced,240,0.001,0.865,0.849,0.851,0.85,0.934
3,gini,0.5,balanced,240,0.01,0.85,0.813,0.863,0.837,0.931
3,gini,0.5,balanced_subsample,240,0.0,0.864,0.845,0.852,0.849,0.934
3,gini,0.5,balanced_subsample,240,0.001,0.863,0.844,0.853,0.848,0.934
3,gini,0.5,balanced_subsample,240,0.01,0.845,0.803,0.868,0.834,0.929
3,gini,0.5,,240,0.0,0.863,0.842,0.853,0.848,0.933
3,gini,0.5,,240,0.001,0.866,0.851,0.848,0.85,0.935
3,gini,0.5,,240,0.01,0.847,0.81,0.862,0.835,0.928
3,gini,0.8,balanced,240,0.0,0.855,0.83,0.852,0.841,0.929
3,gini,0.8,balanced,240,0.001,0.858,0.836,0.848,0.842,0.929
3,gini,0.8,balanced,240,0.01,0.84,0.801,0.855,0.827,0.926
3,gini,0.8,balanced_subsample,240,0.0,0.855,0.83,0.849,0.84,0.929
3,gini,0.8,balanced_subsample,240,0.001,0.859,0.837,0.851,0.844,0.929
3,gini,0.8,balanced_subsample,240,0.01,0.839,0.801,0.854,0.827,0.925
3,gini,0.8,,240,0.0,0.852,0.826,0.848,0.837,0.928
3,gini,0.8,,240,0.001,0.854,0.829,0.85,0.839,0.929
3,gini,0.8,,240,0.01,0.842,0.801,0.86,0.83,0.926
5,gini,sqrt,balanced,240,0.0,0.88,0.86,0.874,0.867,0.948
5,gini,sqrt,balanced,240,0.001,0.877,0.853,0.877,0.865,0.947
5,gini,sqrt,balanced,240,0.01,0.867,0.839,0.871,0.855,0.939
5,gini,sqrt,balanced_subsample,240,0.0,0.879,0.858,0.874,0.866,0.948
5,gini,sqrt,balanced_subsample,240,0.001,0.878,0.855,0.877,0.866,0.947
5,gini,sqrt,balanced_subsample,240,0.01,0.87,0.839,0.877,0.858,0.94
5,gini,sqrt,,240,0.0,0.879,0.856,0.877,0.866,0.948
5,gini,sqrt,,240,0.001,0.877,0.854,0.875,0.865,0.947
5,gini,sqrt,,240,0.01,0.872,0.846,0.873,0.859,0.942
5,gini,log2,balanced,240,0.0,0.879,0.859,0.874,0.866,0.948
5,gini,log2,balanced,240,0.001,0.878,0.854,0.877,0.866,0.948
5,gini,log2,balanced,240,0.01,0.871,0.847,0.868,0.857,0.94
5,gini,log2,balanced_subsample,240,0.0,0.88,0.858,0.876,0.867,0.948
5,gini,log2,balanced_subsample,240,0.001,0.877,0.854,0.876,0.865,0.947
5,gini,log2,balanced_subsample,240,0.01,0.868,0.838,0.874,0.855,0.94
5,gini,log2,,240,0.0,0.88,0.86,0.874,0.867,0.949
5,gini,log2,,240,0.001,0.878,0.854,0.877,0.865,0.947
5,gini,log2,,240,0.01,0.868,0.843,0.867,0.855,0.94
5,gini,,balanced,240,0.0,0.875,0.851,0.873,0.862,0.943
5,gini,,balanced,240,0.001,0.871,0.843,0.876,0.859,0.941
5,gini,,balanced,240,0.01,0.845,0.806,0.86,0.832,0.916
5,gini,,balanced_subsample,240,0.0,0.875,0.853,0.871,0.862,0.944
5,gini,,balanced_subsample,240,0.001,0.872,0.847,0.873,0.86,0.941
5,gini,,balanced_subsample,240,0.01,0.845,0.806,0.862,0.833,0.92
5,gini,,,240,0.0,0.874,0.848,0.876,0.862,0.944
5,gini,,,240,0.001,0.871,0.843,0.876,0.859,0.941
5,gini,,,240,0.01,0.846,0.809,0.859,0.833,0.92
5,gini,0.5,balanced,240,0.0,0.876,0.854,0.872,0.863,0.945
5,gini,0.5,balanced,240,0.001,0.873,0.848,0.871,0.86,0.943
5,gini,0.5,balanced,240,0.01,0.844,0.8,0.868,0.833,0.929
5,gini,0.5,balanced_subsample,240,0.0,0.876,0.854,0.871,0.863,0.945
5,gini,0.5,balanced_subsample,240,0.001,0.873,0.848,0.873,0.86,0.943
5,gini,0.5,balanced_subsample,240,0.01,0.847,0.808,0.864,0.835,0.929
5,gini,0.5,,240,0.0,0.876,0.854,0.872,0.863,0.945
5,gini,0.5,,240,0.001,0.873,0.848,0.873,0.861,0.943
5,gini,0.5,,240,0.01,0.847,0.807,0.865,0.835,0.929
5,gini,0.8,balanced,240,0.0,0.875,0.851,0.874,0.862,0.944
5,gini,0.8,balanced,240,0.001,0.872,0.845,0.875,0.859,0.941
5,gini,0.8,balanced,240,0.01,0.846,0.81,0.857,0.833,0.926
5,gini,0.8,balanced_subsample,240,0.0,0.875,0.852,0.873,0.862,0.944
5,gini,0.8,balanced_subsample,240,0.001,0.871,0.845,0.873,0.859,0.942
5,gini,0.8,balanced_subsample,240,0.01,0.846,0.809,0.859,0.833,0.926
5,gini,0.8,,240,0.0,0.875,0.852,0.874,0.862,0.944
5,gini,0.8,,240,0.001,0.872,0.846,0.873,0.859,0.941
5,gini,0.8,,240,0.01,0.845,0.806,0.861,0.833,0.926
7,gini,sqrt,balanced,240,0.0,0.883,0.864,0.877,0.871,0.951
7,gini,sqrt,balanced,240,0.001,0.878,0.852,0.882,0.867,0.948
7,gini,sqrt,balanced,240,0.01,0.864,0.832,0.872,0.852,0.938
7,gini,sqrt,balanced_subsample,240,0.0,0.883,0.863,0.878,0.87,0.951
7,gini,sqrt,balanced_subsample,240,0.001,0.878,0.852,0.881,0.866,0.948
7,gini,sqrt,balanced_subsample,240,0.01,0.865,0.839,0.865,0.852,0.939
7,gini,sqrt,,240,0.0,0.882,0.863,0.877,0.87,0.951
7,gini,sqrt,,240,0.001,0.878,0.85,0.882,0.866,0.948
7,gini,sqrt,,240,0.01,0.867,0.837,0.873,0.855,0.94
7,gini,log2,balanced,240,0.0,0.883,0.862,0.879,0.87,0.951
7,gini,log2,balanced,240,0.001,0.878,0.852,0.881,0.866,0.948
7,gini,log2,balanced,240,0.01,0.869,0.84,0.876,0.857,0.94
7,gini,log2,balanced_subsample,240,0.0,0.883,0.863,0.878,0.87,0.951
7,gini,log2,balanced_subsample,240,0.001,0.879,0.852,0.881,0.867,0.948
7,gini,log2,balanced_subsample,240,0.01,0.858,0.822,0.871,0.846,0.938
7,gini,log2,,240,0.0,0.883,0.863,0.878,0.87,0.951
7,gini,log2,,240,0.001,0.878,0.852,0.881,0.866,0.948
7,gini,log2,,240,0.01,0.873,0.847,0.874,0.861,0.942
7,gini,,balanced,240,0.0,0.883,0.862,0.879,0.87,0.95
7,gini,,balanced,240,0.001,0.873,0.844,0.879,0.862,0.943
7,gini,,balanced,240,0.01,0.847,0.807,0.865,0.835,0.918
7,gini,,balanced_subsample,240,0.0,0.883,0.863,0.878,0.87,0.95
7,gini,,balanced_subsample,240,0.001,0.873,0.845,0.879,0.862,0.943
7,gini,,balanced_subsample,240,0.01,0.846,0.807,0.861,0.833,0.921
7,gini,,,240,0.0,0.883,0.863,0.878,0.87,0.95
7,gini,,,240,0.001,0.873,0.845,0.878,0.861,0.943
7,gini,,,240,0.01,0.846,0.807,0.861,0.833,0.917
7,gini,0.5,balanced,240,0.0,0.882,0.861,0.878,0.87,0.95
7,gini,0.5,balanced,240,0.001,0.875,0.848,0.878,0.862,0.945
7,gini,0.5,balanced,240,0.01,0.846,0.806,0.866,0.835,0.928
7,gini,0.5,balanced_subsample,240,0.0,0.882,0.862,0.878,0.87,0.95
7,gini,0.5,balanced_subsample,240,0.001,0.874,0.847,0.879,0.862,0.944
7,gini,0.5,balanced_subsample,240,0.01,0.848,0.81,0.862,0.835,0.929
7,gini,0.5,,240,0.0,0.882,0.861,0.879,0.87,0.95
7,gini,0.5,,240,0.001,0.874,0.848,0.876,0.862,0.945
7,gini,0.5,,240,0.01,0.844,0.801,0.867,0.833,0.928
7,gini,0.8,balanced,240,0.0,0.883,0.862,0.878,0.87,0.95
7,gini,0.8,balanced,240,0.001,0.873,0.846,0.877,0.861,0.943
7,gini,0.8,balanced,240,0.01,0.841,0.801,0.857,0.828,0.926
7,gini,0.8,balanced_subsample,240,0.0,0.883,0.863,0.877,0.87,0.95
7,gini,0.8,balanced_subsample,240,0.001,0.873,0.845,0.879,0.862,0.943
7,gini,0.8,balanced_subsample,240,0.01,0.845,0.808,0.859,0.833,0.926
7,gini,0.8,,240,0.0,0.883,0.862,0.879,0.87,0.95
7,gini,0.8,,240,0.001,0.874,0.846,0.879,0.862,0.943
7,gini,0.8,,240,0.01,0.846,0.809,0.86,0.833,0.926
9,gini,sqrt,balanced,240,0.0,0.885,0.867,0.878,0.872,0.952
9,gini,sqrt,balanced,240,0.001,0.879,0.851,0.883,0.867,0.948
9,gini,sqrt,balanced,240,0.01,0.868,0.84,0.87,0.855,0.939
9,gini,sqrt,balanced_subsample,240,0.0,0.885,0.867,0.878,0.872,0.952
9,gini,sqrt,balanced_subsample,240,0.001,0.878,0.851,0.883,0.867,0.948
9,gini,sqrt,balanced_subsample,240,0.01,0.865,0.837,0.868,0.852,0.939
9,gini,sqrt,,240,0.0,0.885,0.867,0.877,0.872,0.952
9,gini,sqrt,,240,0.001,0.879,0.851,0.884,0.867,0.948
9,gini,sqrt,,240,0.01,0.868,0.841,0.871,0.855,0.939
9,gini,log2,balanced,240,0.0,0.885,0.867,0.878,0.873,0.952
9,gini,log2,balanced,240,0.001,0.878,0.852,0.881,0.866,0.947
9,gini,log2,balanced,240,0.01,0.866,0.838,0.87,0.853,0.939
9,gini,log2,balanced_subsample,240,0.0,0.885,0.866,0.879,0.872,0.952
9,gini,log2,balanced_subsample,240,0.001,0.877,0.848,0.884,0.865,0.947
9,gini,log2,balanced_subsample,240,0.01,0.867,0.838,0.87,0.854,0.938
9,gini,log2,,240,0.0,0.885,0.866,0.879,0.872,0.952
9,gini,log2,,240,0.001,0.878,0.851,0.881,0.866,0.948
9,gini,log2,,240,0.01,0.867,0.835,0.877,0.855,0.939
9,gini,,balanced,240,0.0,0.886,0.868,0.878,0.873,0.952
9,gini,,balanced,240,0.001,0.874,0.846,0.879,0.862,0.943
9,gini,,balanced,240,0.01,0.845,0.807,0.859,0.832,0.921
9,gini,,balanced_subsample,240,0.0,0.886,0.868,0.879,0.873,0.952
9,gini,,balanced_subsample,240,0.001,0.874,0.845,0.879,0.862,0.943
9,gini,,balanced_subsample,240,0.01,0.845,0.806,0.861,0.833,0.923
9,gini,,,240,0.0,0.886,0.869,0.878,0.873,0.952
9,gini,,,240,0.001,0.874,0.846,0.878,0.862,0.943
9,gini,,,240,0.01,0.845,0.808,0.859,0.832,0.922
9,gini,0.5,balanced,240,0.0,0.885,0.867,0.878,0.872,0.952
9,gini,0.5,balanced,240,0.001,0.875,0.846,0.879,0.863,0.945
9,gini,0.5,balanced,240,0.01,0.847,0.803,0.874,0.837,0.93
9,gini,0.5,balanced_subsample,240,0.0,0.885,0.867,0.878,0.872,0.952
9,gini,0.5,balanced_subsample,240,0.001,0.875,0.849,0.877,0.863,0.945
9,gini,0.5,balanced_subsample,240,0.01,0.846,0.803,0.869,0.835,0.93
9,gini,0.5,,240,0.0,0.885,0.867,0.878,0.872,0.952
9,gini,0.5,,240,0.001,0.875,0.847,0.879,0.863,0.945
9,gini,0.5,,240,0.01,0.844,0.801,0.868,0.833,0.929
9,gini,0.8,balanced,240,0.0,0.886,0.868,0.878,0.873,0.952
9,gini,0.8,balanced,240,0.001,0.874,0.847,0.878,0.862,0.943
9,gini,0.8,balanced,240,0.01,0.845,0.807,0.86,0.833,0.926
9,gini,0.8,balanced_subsample,240,0.0,0.886,0.868,0.878,0.873,0.952
9,gini,0.8,balanced_subsample,240,0.001,0.873,0.844,0.879,0.861,0.943
9,gini,0.8,balanced_subsample,240,0.01,0.841,0.801,0.859,0.829,0.925
9,gini,0.8,,240,0.0,0.886,0.868,0.878,0.873,0.952
9,gini,0.8,,240,0.001,0.874,0.846,0.879,0.862,0.943
9,gini,0.8,,240,0.01,0.847,0.804,0.87,0.836,0.927
11,gini,sqrt,balanced,240,0.0,0.886,0.869,0.876,0.873,0.953
11,gini,sqrt,balanced,240,0.001,0.878,0.851,0.883,0.867,0.948
11,gini,sqrt,balanced,240,0.01,0.87,0.841,0.874,0.857,0.941
11,gini,sqrt,balanced_subsample,240,0.0,0.886,0.87,0.877,0.873,0.953
11,gini,sqrt,balanced_subsample,240,0.001,0.878,0.851,0.883,0.867,0.948
11,gini,sqrt,balanced_subsample,240,0.01,0.871,0.843,0.876,0.859,0.94
11,gini,sqrt,,240,0.0,0.886,0.87,0.876,0.873,0.953
11,gini,sqrt,,240,0.001,0.879,0.852,0.883,0.867,0.948
11,gini,sqrt,,240,0.01,0.87,0.84,0.876,0.857,0.939
11,gini,log2,balanced,240,0.0,0.886,0.87,0.876,0.873,0.953
11,gini,log2,balanced,240,0.001,0.878,0.851,0.882,0.866,0.948
11,gini,log2,balanced,240,0.01,0.869,0.838,0.876,0.856,0.941
11,gini,log2,balanced_subsample,240,0.0,0.886,0.87,0.877,0.873,0.953
11,gini,log2,balanced_subsample,240,0.001,0.878,0.851,0.883,0.867,0.948
11,gini,log2,balanced_subsample,240,0.01,0.869,0.839,0.875,0.857,0.939
11,gini,log2,,240,0.0,0.886,0.871,0.876,0.873,0.953
11,gini,log2,,240,0.001,0.878,0.851,0.882,0.866,0.948
11,gini,log2,,240,0.01,0.868,0.84,0.871,0.855,0.94
11,gini,,balanced,240,0.0,0.886,0.872,0.875,0.873,0.952
11,gini,,balanced,240,0.001,0.874,0.848,0.876,0.862,0.943
11,gini,,balanced,240,0.01,0.845,0.805,0.864,0.833,0.917
11,gini,,balanced_subsample,240,0.0,0.886,0.871,0.875,0.873,0.952
11,gini,,balanced_subsample,240,0.001,0.874,0.846,0.878,0.862,0.943
11,gini,,balanced_subsample,240,0.01,0.842,0.801,0.861,0.83,0.914
11,gini,,,240,0.0,0.887,0.872,0.875,0.874,0.952
11,gini,,,240,0.001,0.873,0.846,0.877,0.861,0.943
11,gini,,,240,0.01,0.846,0.809,0.86,0.833,0.92
11,gini,0.5,balanced,240,0.0,0.886,0.871,0.875,0.873,0.952
11,gini,0.5,balanced,240,0.001,0.875,0.847,0.879,0.863,0.945
11,gini,0.5,balanced,240,0.01,0.847,0.807,0.865,0.835,0.929
11,gini,0.5,balanced_subsample,240,0.0,0.886,0.871,0.875,0.873,0.952
11,gini,0.5,balanced_subsample,240,0.001,0.875,0.847,0.879,0.863,0.945
11,gini,0.5,balanced_subsample,240,0.01,0.847,0.808,0.864,0.835,0.929
11,gini,0.5,,240,0.0,0.886,0.871,0.875,0.873,0.952
11,gini,0.5,,240,0.001,0.874,0.847,0.879,0.862,0.945
11,gini,0.5,,240,0.01,0.847,0.808,0.864,0.835,0.93
11,gini,0.8,balanced,240,0.0,0.886,0.872,0.875,0.873,0.952
11,gini,0.8,balanced,240,0.001,0.873,0.844,0.88,0.862,0.943
11,gini,0.8,balanced,240,0.01,0.841,0.801,0.857,0.828,0.926
11,gini,0.8,balanced_subsample,240,0.0,0.886,0.872,0.875,0.873,0.952
11,gini,0.8,balanced_subsample,240,0.001,0.873,0.844,0.879,0.861,0.943
11,gini,0.8,balanced_subsample,240,0.01,0.844,0.808,0.854,0.83,0.926
11,gini,0.8,,240,0.0,0.886,0.871,0.876,0.873,0.952
11,gini,0.8,,240,0.001,0.874,0.845,0.878,0.862,0.943
11,gini,0.8,,240,0.01,0.844,0.808,0.857,0.832,0.925
3,entropy,sqrt,balanced,240,0.0,0.876,0.862,0.86,0.861,0.945
3,entropy,sqrt,balanced,240,0.001,0.872,0.857,0.858,0.857,0.943
3,entropy,sqrt,balanced,240,0.01,0.873,0.859,0.858,0.859,0.942
3,entropy,sqrt,balanced_subsample,240,0.0,0.873,0.856,0.863,0.859,0.944
3,entropy,sqrt,balanced_subsample,240,0.001,0.874,0.857,0.864,0.86,0.944
3,entropy,sqrt,balanced_subsample,240,0.01,0.872,0.848,0.871,0.86,0.943
